# tag, name, group taste
0369100235,cheese,dairy,sharp
1289547611,milk,dairy,cold
1288738491,eggplant,fruit,bland
1288237483,apple,fruit,sour
1287516155,pear,fruit,sweet
1288656427,watermelon,fruit,sweet
1288393243,croissant,grain,warm
1288526187,bun,grain,hot
1289212523,bread,grain,stale
1288910203,waffle,grain,delicious
1289579531,egg,protein,filling
0370512747,egg,protein,filling
1289251195,corn,vegetable,sweet
0369228939,pepper,vegetable,bitter
0369334971,peas,vegetable,sweet
0370786539,onion,vegetable,sharp
1238009125,squash,vegetable,nutty
2310384281,tortilla,grain,salty
1558402549,yogurt,dairy,creamy
1560664933,orange,fruit,citrusy
1932082251,bacon,protein,smoky
1555892405,circuits,protein,spicy
